"Query","Category","Response"
Query,Category,Response
hello,General,Hello! How can I assist you today?
hi,General,Hi there! What can I help you with?
"My bill is incorrect","Billing","We apologize for the billing error. Please contact our billing team with your account number and we will resolve it within 24 hours."
"I was charged twice for the same order","Billing","We are sorry for the double charge. We will initiate a refund immediately. Please allow 3-5 business days for the amount to reflect."
"How do I update my payment method","Billing","You can update your payment method by going to Account Settings then Payment then Update Card Details."
"I need an invoice for my last purchase","Billing","You can download your invoice from the Orders section in your account dashboard. We can also email it to you."
"Why is my subscription cost higher this month","Billing","Your subscription cost may have changed due to a plan upgrade or applicable taxes. Please check your billing history for details."
"What payment methods do you accept","Billing","We accept all major credit and debit cards including PayPal and UPI. You can also pay using gift cards or store credit."
"My internet is not working","Technical","We are sorry for the inconvenience. Please try restarting your router. If the issue persists our technical team will assist you remotely."
"The app keeps crashing on my phone","Technical","Please try clearing the app cache and updating to the latest version. If the issue continues we will escalate it to our development team."
"I cannot log into my account","Technical","Please try resetting your password using the Forgot Password option. If you are still unable to login contact support with your registered email."
"My device is not connecting to the service","Technical","Please ensure your device firmware is updated. Try disconnecting and reconnecting. Our technicians are available 24/7 for remote assistance."
"The website is showing an error","Technical","We apologize for the inconvenience. Our team is aware of the issue and is working to fix it. Please try again in a few minutes."
"Where is my order","Shipping","Your order is currently being processed and will be shipped within 2 business days. You will receive a tracking link via email."
"My package has not arrived yet","Shipping","We apologize for the delay. Your package may be held at customs or delayed due to weather. Please track your order using the link sent to your email."
"How do I track my shipment","Shipping","You can track your shipment by entering your order number in the Track Order section or using the link in your shipping confirmation email."
"Can I change my delivery address","Shipping","If your order has not been dispatched yet we can update the delivery address. Please contact us immediately with your order number and new address."
"My order was delivered to the wrong address","Shipping","We are sorry for the inconvenience. Please contact us with your order number and we will arrange a re-delivery or provide a full refund."
"How do I return a product","Returns","You can initiate a return by visiting the Returns section in your account. Items must be returned within 30 days in original condition with all packaging."
"I want to exchange my product","Returns","We offer free exchanges within 30 days of purchase. Please initiate the exchange from your account portal and ship the item back to us."
"My refund has not been processed","Returns","We apologize for the delay. Refunds typically take 5-7 business days. We will escalate your case and ensure it is processed immediately."
"Can I return a used product","Returns","We accept returns for defective or damaged products even if they have been used. For other cases items must be in original unused condition."
"The returned item was damaged during transit","Returns","We are sorry to hear that. Please share photos of the damaged package and item. We will arrange a replacement or full refund at no cost to you."
"How do I cancel my subscription","General","You can cancel your subscription from Account Settings then Subscription then Cancel Plan. Your service will continue until the end of the billing cycle."
"What are your customer support hours","General","Our customer support team is available 24 hours a day 7 days a week via chat email and phone."
"How do I contact a human agent","General","You can reach a human agent by clicking Contact Us and selecting Live Chat or Call Us. Average wait time is under 2 minutes."
"Do you offer a free trial","General","Yes we offer a 14-day free trial with full access to all features. No credit card is required to sign up."
"How do I reset my password","General","Click on Forgot Password on the login page and enter your registered email. You will receive a reset link within a few minutes."
"I want to upgrade my plan","General","You can upgrade your plan from Account Settings then Subscription then Change Plan. Upgraded features are available immediately after confirmation."
"Is my data secure with your service","General","Yes we use industry-standard encryption and follow strict data privacy policies. Your data is never shared with third parties without your consent."
"How do I delete my account","General","To delete your account go to Account Settings then Privacy then Delete Account. Please note this action is permanent and all your data will be removed."
"Can I have multiple users on one account","General","Yes our Team and Business plans support multiple users. You can add team members from Account Settings then Team Management."
